municipality,district,neighbourhood,geocode,price
079,01,001,11,140.0
079,01,002,12,120.0
079,01,003,13,165.0
079,01,004,14,170.0
079,01,005,15,150.0
079,01,006,16,160.0
079,02,001,21,100.0
079,02,002,22,85.0
079,02,003,23,100.0
079,02,004,24,80.0
079,02,005,25,90.0
079,02,006,26,100.0
079,03,001,31,90.0
079,03,002,32,90.0
079,03,003,33,85.0
079,03,004,34,140.0
079,03,005,35,136.5
079,03,006,36,100.0
079,04,001,41,185.0
079,04,002,42,160.0
079,04,003,43,75.0
079,04,004,44,100.0
079,04,005,45,130.0
079,04,006,46,160.0
079,05,001,51,150.0
079,05,002,52,90.0
079,05,003,53,95.0
079,05,004,54,95.0
079,05,005,55,100.0
079,05,006,56,100.0
079,06,001,61,80.0
079,06,002,62,105.0
079,06,003,63,90.0
079,06,004,64,70.0
079,06,005,65,75.0
079,06,006,66,77.5
079,07,001,71,130.0
079,07,002,72,130.0
079,07,003,73,170.0
079,07,004,74,167.5
079,07,005,75,125.0
079,07,006,76,140.0
079,08,002,82,95.0
079,08,003,83,77.5
079,08,004,84,85.0
079,08,005,85,85.0
079,08,006,86,70.0
079,08,007,87,75.0
079,08,008,88,60.0
079,08,009,89,60.0
079,08,010,810,65.0
079,09,001,91,100.0
079,09,002,92,100.0
079,09,003,93,90.0
079,09,004,94,75.0
079,09,005,95,70.0
079,09,006,96,70.0
079,09,007,97,75.0
079,10,001,101,70.0
079,10,002,102,100.0
079,10,003,103,57.5
079,10,004,104,55.0
079,10,005,105,90.0
079,10,007,107,65.0
079,11,001,111,60.0
079,11,002,112,62.5
079,11,003,113,62.5
079,11,004,114,80.0
079,11,005,115,70.0
079,11,006,116,60.0
079,11,007,117,100.0
079,11,008,118,60.0
079,12,001,121,90.0
079,12,002,122,60.0
079,12,003,123,50.0
079,12,004,124,90.0
079,12,005,125,50.0
079,12,006,126,45.0
079,12,007,127,70.0
079,13,001,131,80.0
079,13,002,132,80.0
079,13,003,133,60.0
079,13,004,134,53.0
079,13,005,135,47.5
079,13,006,136,67.5
079,14,002,142,90.0
079,14,003,143,80.0
079,14,004,144,75.0
079,14,005,145,90.0
079,14,006,146,70.0
079,15,001,151,85.0
079,15,002,152,70.0
079,15,003,153,77.5
079,15,004,154,90.0
079,15,005,155,105.0
079,15,006,156,80.0
079,15,007,157,77.5
079,15,008,158,82.5
079,15,009,159,80.0
079,16,001,161,85.0
079,16,002,162,60.0
079,16,003,163,70.0
079,16,004,164,80.0
079,16,005,165,60.0
079,16,006,166,55.0
079,16,007,167,72.5
079,16,008,168,60.0
079,17,001,171,60.0
079,17,003,173,70.0
079,17,004,174,52.5
079,17,005,175,75.0
079,18,001,181,53.0
079,18,002,182,65.0
079,18,003,183,55.0
079,19,001,191,60.0
079,19,002,192,72.5
079,19,003,193,70.0
079,20,001,201,95.0
079,20,004,204,80.0
079,20,005,205,80.0
079,20,006,206,75.0
079,20,007,207,70.0
079,20,008,208,80.0
079,21,001,211,82.5
079,21,002,212,100.0
079,21,003,213,70.0
079,21,004,214,65.0
079,21,005,215,100.0
